id,created_at,text
1176819645699043328,2019-09-25 11:24:02,There has been no President in the history of our Country who has been treated so badly as I have. The Democrats are frozen with hatred and fear. They get nothing done. This should never be allowed to happen to another President. Witch Hunt!
1176817132782411776,2019-09-25 11:14:03,"Great new book by the brilliant Andrew McCarthy, BALL OF COLLUSION, THE PLOT TO RIG AN ELECTION AND DESTROY A PRESIDENCY. Get it, and some other great new books which I will soon be recommending. They tell you about the Crooked Pols and the Witch Hunt that has now been exposed!"
1176703309488562178,2019-09-25 03:41:45,Thank you @LouDobbs and @JudgeJeanine! https://t.co/LdfGFvAJNF
1176702213613334535,2019-09-25 03:37:24,Thank you @kevinomccarthy! https://t.co/DhcGpWEOME
1176701564624543744,2019-09-25 03:34:49,"“He (Trump) has already been suffering from this type of a Witch Hunt since before his Inauguration. If it’s not one thing, it’s another. It’s a DISGRACE!” @pnjaban @LouDobbs https://t.co/9I9kXo2B8V"
1176697246680780800,2019-09-25 03:17:40,Sooooo true @LindseyGrahamSC! https://t.co/ZzFwXHV5ua
1176693927015002113,2019-09-25 03:04:28,Thank you @JennaEllisRives -- totally agree! https://t.co/n3GDdAHLWh
1176691762934484994,2019-09-25 02:55:52,"""They (Dems) are scrambling for a theme and narrative. They've gone everywhere from Russian Hoax to Russian Collusion...and now they've come to this...they think they should have won the 2016 election, they think in their bizarre brains that they did..."" https://t.co/xqYFEAzT8D"
1176686526006276097,2019-09-25 02:35:04,"“Mark Levin: Media trying to protect Biden, ignoring MASSIVE DEMOCRAT SCANDAL” https://t.co/9Il7wHwQ7J"
1176684407677210624,2019-09-25 02:26:39,"“Attorney For Anti-Trump ‘Whistleblower’ Worked For Hillary Clinton, Chuck Schumer” https://t.co/yxQ5obwB6K"
1176636881779470337,2019-09-24 23:17:48,https://t.co/OFMzIMWpv1
1176623010230525953,2019-09-24 22:22:40,Secretary of State Pompeo recieved permission from Ukraine Government to release the transcript of the telephone call I had with their President. They don’t know either what the big deal is. A total Witch Hunt Scam by the Democrats!
1176610391058722816,2019-09-24 21:32:32,https://t.co/1KOSnHguW2
1176606660279898112,2019-09-24 21:17:42,PRESIDENTIAL HARASSMENT!
1176605750657003520,2019-09-24 21:14:05,They never even saw the transcript of the call. A total Witch Hunt!
1176605037700759558,2019-09-24 21:11:15,"Pelosi, Nadler, Schiff and, of course, Maxine Waters! Can you believe this?"
1176604222709751809,2019-09-24 21:08:01,"Such an important day at the United Nations, so much work and so much success, and the Democrats purposely had to ruin and demean it with more breaking news Witch Hunt garbage. So bad for our Country!"
1176575332159295489,2019-09-24 19:13:13,"RT @GOP: 🚨Are YOU registered to vote?🚨
 
Today is #NationalVoterRegistrationDay, make sure you are registered to vote!
 
Let’s KEEP AMERICA…"
1176570123643060224,2019-09-24 18:52:31,"The Democrats are so focused on hurting the Republican Party and the President that they are unable to get anything done because of it, including legislation on gun safety, lowering of prescription drug prices, infrastructure, etc. So bad for our Country!"
1176569846684766208,2019-09-24 18:51:25,THANK YOU! https://t.co/Ne2LOSAWpX
1176559970390806530,2019-09-24 18:12:11,"....You will see it was a very friendly and totally appropriate call. No pressure and, unlike Joe Biden and his son, NO quid pro quo! This is nothing more than a continuation of the Greatest and most Destructive Witch Hunt of all time!"
1176559966024556544,2019-09-24 18:12:09,"I am currently at the United Nations representing our Country, but have authorized the release tomorrow of the complete, fully declassified and unredacted transcript of my phone conversation with President Zelensky of Ukraine...."
1176350720544727040,2019-09-24 04:20:41,RT @RandPaul: .@realDonaldTrump is showing that real strength and statesmanship can coexist with restraint. America is unquestionably the m…
1176350091743039488,2019-09-24 04:18:12,"RT @cspan: Q: ""You can authorize to release the transcript. Will you do that?""

President Trump: ""I can do it very easily, but I'd rather n…"
1176346653550362626,2019-09-24 04:04:32,"RT @cspan: President Trump: ""I think I'll get a Nobel prize for a lot of things,"" https://t.co/XPRfWZyYc6"
1176346033678430210,2019-09-24 04:02:04,True. A wonderful meeting! https://t.co/W9ByXaS8Qf
1176344378144673793,2019-09-24 03:55:29,"RT @hogangidley45: “Today, it is my true honor to be the first President of the United States to host a meeting at the United Nations on re…"
1176339522113679360,2019-09-24 03:36:12,She seems like a very happy young girl looking forward to a bright and wonderful future. So nice to see! https://t.co/1tQG6QcVKO
1176294435489046528,2019-09-24 00:37:02,https://t.co/p5imhMJqS1
1176276184054685697,2019-09-23 23:24:31,"“@FoxNews bombshell information reports that the so-called Whistleblower did not have firsthand knowledge of that phone conversation with Ukraine’s President.” Wow! @HARRISFAULKNER It is all a Democrat/Adam Schiff Scam! Doing this for 3 years now, and found NOTHING!"
1176273854861336576,2019-09-23 23:15:15,#UNGA https://t.co/iIZugqjEhP
1176266094740475905,2019-09-23 22:44:25,94% approval rating in the Republican Party. Thank you!
1176230179448008705,2019-09-23 20:21:42,"Thank you, working hard! https://t.co/1CpxcJOtha"
1176219043965079552,2019-09-23 19:37:27,This is the real corruption that the Fake News Media refuses to even acknowledge! https://t.co/FCvUtWA33j
1176209011886026752,2019-09-23 18:57:35,"RT @WhiteHouse: ""With one clear voice, the United States of America calls on the nations of the world to end religious persecution."" #UNGA…"
1176208983905824769,2019-09-23 18:57:29,"RT @WhiteHouse: President @realDonaldTrump just delivered a critical message on religious freedom and global persecution.

""Our founders un…"
1176156564274712576,2019-09-23 15:29:11,....know the correct facts. Is he on our Country’s side. Where does he come from. Is this all about Schiff &amp; the Democrats again after years of being wrong?
1176156553692536832,2019-09-23 15:29:08,"“The very thing that they are accusing President Trump of doing (which I didn’t do), was actually done by Joe Biden. Continues to be a double standard.” @RepDevinNunes  @foxandfriends  These people are stone cold Crooked. Also, who is this so-called “whistleblower” who doesn’t..."
1175968979539628032,2019-09-23 03:03:47,https://t.co/lYQkgU9G04
1175924464116097024,2019-09-23 00:06:54,Just leaving the Great State of Ohio for New York and a few big days at the United Nations. Your Country will be well represented!
1175923717534150656,2019-09-23 00:03:56,"..Breaking News: The Ukrainian Government just said they weren’t pressured at all during the “nice” call. Sleepy Joe Biden, on the other hand, forced a tough prosecutor out from investigating his son’s company by threat of not giving big dollars to Ukraine. That’s the real story!"
1175923713952235520,2019-09-23 00:03:55,Now the Fake News Media says I “pressured the Ukrainian President at least 8 times during my telephone call with him.” This supposedly comes from a so-called “whistleblower” who they say doesn’t even have a first hand account of what was said. More Democrat/Crooked Media con.....
1175918239920140288,2019-09-22 23:42:10,https://t.co/J7g5L8LzrV
1175884418122076165,2019-09-22 21:27:46,"RT @sanghaviharsh: He has already made the American economy strong again. He has achieved much for the US and for the world. 

We, in India…"
1175848677145042944,2019-09-22 19:05:45,Incredible! https://t.co/SHs0RkxjzF
1175848139112308739,2019-09-22 19:03:37,The USA Loves India! https://t.co/xlfnWafxpg
1175834968607666178,2019-09-22 18:11:17,https://t.co/heZ2mNSBUw
1175795391310155782,2019-09-22 15:34:01,Justice Kavanaugh should sue The Failing New York Times for all they are worth!
1175794079902261252,2019-09-22 15:28:48,Look forward to being with our great India loving community! https://t.co/RldaoFw0Uc
1175792466592555008,2019-09-22 15:22:23,“The @nytimes is trying to make someone (Justice Kavanaugh) into an evil person when they don’t have the information to back it up. It is a false hoax.” @MZHemingway @MediaBuzzFNC  Zero people were fired at the Times. Why?
1175781770974744579,2019-09-22 14:39:53,Will be in Houston to be with my friend. Will be a great day in Texas! https://t.co/SqdOZfqd2b
1175779048846319616,2019-09-22 14:29:04,"“They are trying to destroy and influence Justice Kavanaugh, a very good man.” @LindseyGrahamSC  100% correct, and they should be fully exposed for what they are!"
1175766589540405248,2019-09-22 13:39:34,"RT @SteveScalise: Dems say they will impeach @realDonaldTrump, but have no reason.

Dems say they won't ban guns, but their bills do just t…"
1175766536293736449,2019-09-22 13:39:21,I go along with Joe! https://t.co/zVxBruUYF8
1175766532590145536,2019-09-22 13:39:20,"“Go across the world and you’ll see either very low interest rates, or negative rates. The President wants to be competitive with these other countries on this, but I don’t think he’ll fire Jay Powell (even if I should!).” We should always be paying less interest than others!"
1175766528743968769,2019-09-22 13:39:19,"“The real story involves Hunter Biden going around the world and collecting large payments from foreign governments and foreign oligarchs.” Peter Schweizer  Laura Ingraham Hunter made a fortune in Ukraine and in China. He knew nothing about Energy, or anything else."
1175587770393341952,2019-09-22 01:49:00,https://t.co/le48VOltE0
1175564914901114882,2019-09-22 00:18:11,RT @WhiteHouse: President @realDonaldTrump took a firsthand look at border wall construction and received a progress update from Border Pat…
1175564363601776640,2019-09-22 00:15:59,"“When someone gets nominated overwhelmingly, and then wins the Election, as he did, then he gets to set the National Agenda. The press is just outrages. This @nytimes story is the most irresponsible thing I’ve ever seen.” @EdRollins @LouDobbs  I agree. They also lose too much!"
1175561537458757632,2019-09-22 00:04:46,"...The Fake News Media nowadays not only doesn’t check for the accuracy of the facts, they knowingly make up the facts. They even make up sources in order to protect their partners, the Democrats. It is so wrong, but they don’t even care anymore. They have gone totally CRAZY!!!!"
1175561536510812163,2019-09-22 00:04:45,"The LameStream Media had a very bad week. They pushed numerous phony stories and got caught, especially The Failing New York Times, which has lost more money over the last 10 years than any paper in history, and The Amazon Washington Post. They are The Enemy of the People!"
1175542062483218432,2019-09-21 22:47:22,"“Ukraine Foreign Minister disputes reports of any pressure from Trump. This conversation was long, friendly, and it touched on many questions.” @NBCNews  Correct. If your looking for something done wrong, just look at the tape of Sleepy Joe. He is being protected by the Media!"
1175527658551173120,2019-09-21 21:50:08,"“They’re trying to turn what was a Biden scandal into a Trump scandal.” @PeterSchweizer The problem is, “Trump” did nothing wrong!"
1175527079544332288,2019-09-21 21:47:50,....with a foreign leader. Was this person officially asked to listen to the conversation or was he or she secretly listening in?” @GreggJarrett
1175527078005002240,2019-09-21 21:47:50,“It appears that an American spy in one of our intelligence agencies may have been spying on our own president. The complaint suggests that this intel agent was listening in on Trump’s conversation....
