,count
the,1696
to,824
and,793
of,652
a,576
is,499
in,472
that,357
for,342
URL,337
AT_USER,327
i,324
they,305
are,289
it,287
on,262
with,252
great,248
our,247
be,244
we,225
have,218
will,212
s,208
you,205
was,178
he,173
this,172
all,170
at,166
amp,166
t,163
very,163
not,160
has,153
so,135
by,126
people,123
president,112
thank,111
country,109
news,107
his,106
but,106
would,105
no,103
now,99
fake,96
china,96
their,94
big,93
much,92
what,90
just,90
as,89
new,86
from,85
trump,84
who,84
do,81
or,81
me,81
more,80
my,79
about,77
should,76
never,75
democrats,74
been,73
than,73
many,73
can,71
an,69
one,68
other,68
like,67
good,67
up,66
media,65
america,65
u,65
time,64
doing,63
even,62
out,62
being,61
if,60
there,60
done,59
when,59
united,58
don,57
years,56
them,56
had,55
were,55
get,54
which,54
said,54
states,54
bad,53
over,51
democrat,50
only,49
party,48
carolina,48
how,47
make,46
far,46
nothing,45
way,45
see,44
again,44
him,44
north,44
world,43
too,43
want,43
economy,42
most,41
also,41
countries,41
american,41
border,41
ever,40
job,40
because,39
after,39
your,39
well,39
federal,39
win,39
fed,39
deal,38
history,38
usa,37
back,37
going,37
mueller,37
know,36
am,36
made,36
best,36
down,36
two,36
got,35
today,35
things,35
before,33
election,33
she,33
left,33
israel,33
come,32
last,32
really,32
strong,31
witch,30
hunt,30
did,30
others,30
then,30
against,30
fact,30
us,30
house,30
year,30
state,29
working,29
these,29
dollars,29
first,29
help,29
trade,29
totally,28
dems,28
times,28
look,28
go,28
money,28
her,28
administration,28
jobs,28
must,28
looking,27
york,27
into,27
interest,27
report,27
reserve,27
keep,27
think,26
work,26
wrong,26
didn,26
why,26
long,26
let,26
better,26
tariffs,26
crime,26
story,25
right,25
while,25
those,25
military,25
comey,25
republican,24
does,24
re,24
almost,24
could,24
true,23
won,23
forward,23
say,23
any,23
numbers,23
congress,23
show,23
getting,23
republicans,23
john,23
dan,23
trying,22
where,22
always,22
radical,22
congratulations,22
wall,22
hate,22
doesn,21
terrible,21
badly,21
corrupt,21
2,21
baltimore,21
law,21
racist,21
call,20
total,20
including,20
incredible,20
book,20
take,20
vote,20
2020,20
hit,20
companies,20
another,19
day,19
joe,19
actually,19
lost,19
obama,19
its,19
run,19
presidential,18
real,18
zero,18
energy,18
problem,18
some,18
despite,18
illegal,18
tonight,18
night,18
elijah,18
ve,17
2016,17
believe,17
such,17
important,17
meeting,17
happy,17
3,17
hard,17
low,17
lamestream,17
washington,17
minister,17
need,17
under,17
love,17
court,17
1,17
everyone,17
france,17
thing,16
greatest,16
called,16
facts,16
texas,16
along,16
wants,16
around,16
national,16
order,16
asked,16
may,16
both,16
perhaps,16
beautiful,16
robert,16
stop,16
failed,16
billions,16
inflation,16
prime,16
bishop,16
gone,15
government,15
prices,15
nice,15
ohio,15
justice,15
kavanaugh,15
rates,15
seen,15
phony,15
yet,15
without,15
governor,15
guy,15
through,15
given,15
m,15
hurricane,15
enforcement,15
cut,15
7,15
anything,14
future,14
crooked,14
leaving,14
crazy,14
post,14
every,14
start,14
same,14
coming,14
talking,14
number,14
sad,14
south,14
record,14
vets,14
rep,14
southern,14
put,14
leaders,14
allowed,14
went,14
district,14
el,14
paso,14
cummings,14
tomorrow,13
complete,13
failing,13
man,13
paying,13
knows,13
little,13
based,13
horrible,13
god,13
nation,13
talk,13
dollar,13
fast,13
happened,13
happen,13
give,13
ratings,13
safe,13
